@RELATION censusIncome

@ATTRIBUTE ﻿age REAL
@ATTRIBUTE workclass {0,1,2,3,4,5,6}
@ATTRIBUTE education {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}
@ATTRIBUTE education-num {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16}
@ATTRIBUTE marital-status {1,2,3,4,5,6,7}
@ATTRIBUTE occupation REAL
@ATTRIBUTE race {0,1,2,3,4}
@ATTRIBUTE sex {0,1}
@ATTRIBUTE hours-per-week REAL
@ATTRIBUTE native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39}
@ATTRIBUTE earnings {<=50K,>50K}

@DATA
58,1,3,9,1,4,0,0,40,0,>50K
44,5,10,14,1,5,0,0,40,0,>50K
43,0,6,11,1,8,0,1,40,0,>50K
38,0,0,13,1,3,0,0,50,0,>50K
28,0,6,11,1,5,0,0,50,0,>50K
30,0,1,10,1,4,0,0,60,0,>50K
40,0,5,12,2,4,0,0,40,0,>50K
38,2,0,13,1,3,0,0,40,0,>50K
35,0,0,13,3,5,1,1,40,15,>50K
45,0,10,14,1,4,0,0,50,0,>50K
33,4,6,11,1,12,0,0,48,0,>50K
27,0,1,10,1,3,0,0,40,0,>50K
44,1,4,15,1,5,0,0,60,0,>50K
46,0,0,13,1,4,0,0,40,0,>50K
50,1,6,11,1,3,0,0,60,0,>50K
70,4,10,14,3,5,0,1,50,0,>50K
27,0,0,13,1,0,0,1,40,0,>50K
35,4,3,9,1,1,0,0,40,12,>50K
42,4,0,13,1,12,0,0,40,0,>50K
33,0,0,13,1,5,0,0,40,0,>50K
43,3,10,14,1,5,0,0,40,0,>50K
43,3,0,13,2,4,0,0,40,0,>50K
35,4,3,9,1,1,0,0,40,0,>50K
45,0,0,13,1,5,0,0,50,0,>50K
59,1,3,9,1,9,0,0,40,0,>50K
51,1,3,9,3,9,0,0,40,0,>50K
53,0,5,12,1,3,0,0,80,0,>50K
28,0,0,13,1,4,0,0,40,0,>50K
43,4,1,10,1,1,0,0,40,0,>50K
24,1,8,4,1,10,0,0,40,0,>50K
48,0,3,9,1,7,0,0,40,0,>50K
32,0,4,15,1,3,0,0,60,0,>50K
33,3,4,15,3,5,0,1,65,0,>50K
50,3,1,10,1,4,0,0,40,0,>50K
34,0,1,10,1,0,0,0,84,0,>50K
60,1,3,9,1,1,0,0,50,0,>50K
23,0,2,7,3,1,1,0,40,19,>50K
32,0,12,6,1,10,0,0,80,0,>50K
32,0,3,9,1,1,0,0,40,0,>50K
42,0,6,11,1,3,0,0,40,0,>50K
36,1,0,13,2,2,4,0,45,0,>50K
46,0,1,10,1,0,0,0,40,0,>50K
29,1,3,9,1,10,0,0,40,0,>50K
36,0,0,13,1,3,0,0,42,0,>50K
27,0,3,9,1,1,0,0,40,0,>50K
50,0,1,10,1,4,0,0,84,0,>50K
41,1,6,11,1,9,0,0,70,0,>50K
37,4,0,13,1,5,0,1,30,0,>50K
59,0,12,6,1,1,0,0,40,0,>50K
38,0,6,11,1,5,1,0,36,15,>50K
48,4,3,9,1,1,0,0,40,0,>50K
33,0,10,14,1,5,0,0,37,0,>50K
44,1,10,14,1,9,0,0,40,0,>50K
48,4,10,14,2,4,4,1,40,0,>50K
52,2,4,15,1,5,3,0,65,0,>50K
47,5,13,16,1,5,0,0,50,0,>50K
26,0,0,13,1,10,0,0,40,0,>50K
48,4,0,13,1,5,0,1,50,0,>50K
56,5,3,9,1,10,0,0,38,0,>50K
46,5,5,12,2,8,0,0,38,0,>50K
30,0,0,13,1,4,0,0,50,0,>50K
41,2,0,13,1,3,0,0,45,0,>50K
50,0,10,14,1,4,0,0,60,0,>50K
47,0,1,10,1,4,4,1,40,0,>50K
27,1,3,9,1,3,0,0,65,0,>50K
50,4,0,13,4,5,0,0,40,0,>50K
29,0,3,9,1,7,0,0,50,0,>50K
54,0,0,13,2,4,4,1,45,0,>50K
47,5,6,11,1,0,0,0,48,0,>50K
52,3,0,13,1,12,0,0,45,0,>50K
49,5,3,9,1,5,0,0,40,0,>50K
36,0,3,9,1,3,0,0,40,0,>50K
33,0,10,14,1,5,0,0,33,0,>50K
55,0,0,13,1,4,0,0,48,0,>50K
36,0,3,9,1,8,0,1,40,0,>50K
44,0,12,6,1,7,0,0,40,0,>50K
57,0,3,9,1,1,0,0,40,0,>50K
39,0,0,13,1,10,0,0,99,0,>50K
36,4,6,11,3,12,0,0,40,0,>50K
58,0,3,9,5,3,0,1,35,0,>50K
90,0,4,15,1,5,0,0,72,0,>50K
34,0,13,16,3,5,0,0,40,27,>50K
34,0,3,9,1,4,0,0,60,0,>50K
35,0,3,9,1,4,0,0,50,0,>50K
58,0,3,9,2,3,0,1,40,0,>50K
47,1,3,9,1,3,0,0,75,0,>50K
41,0,0,13,1,4,0,0,50,0,>50K
